('30/05/2022 17:05:33', '364', '1')
('30/05/2022 17:05:35', '366', '400')
('30/05/2022 17:05:36', '364', '295')
('30/05/2022 17:05:37', '364', '464')
('30/05/2022 17:05:38', '368', '363')
('30/05/2022 17:05:40', '368', '422')
('30/05/2022 17:05:41', '366', '192')
('30/05/2022 17:05:42', '384', '319')
('30/05/2022 17:05:43', '371', '473')
('30/05/2022 17:05:45', '368', '359')
('30/05/2022 17:05:46', '374', '299')
('30/05/2022 17:05:47', '370', '448')
('30/05/2022 17:05:48', '384', '464')
('30/05/2022 17:05:49', '382', '435')
('30/05/2022 17:05:51', '380', '4')
('30/05/2022 17:05:52', '363', '347')
('30/05/2022 17:05:53', '378', '400')
('30/05/2022 17:05:54', '382', '285')
('30/05/2022 17:05:56', '383', '466')
('30/05/2022 17:05:57', '368', '202')
('30/05/2022 17:05:58', '389', '384')
('30/05/2022 17:05:59', '390', '1')
('30/05/2022 17:06:01', '395', '211')
('30/05/2022 17:06:02', '395', '253')
('30/05/2022 17:06:03', '400', '210')
('30/05/2022 17:06:04', '400', '434')
('30/05/2022 17:06:05', '410', '173')
('30/05/2022 17:06:07', '424', '294')
('30/05/2022 17:06:08', '416', '192')
('30/05/2022 17:06:09', '422', '459')
('30/05/2022 17:06:10', '419', '32')
('30/05/2022 17:06:12', '432', '385')
('30/05/2022 17:06:13', '448', '208')
('30/05/2022 17:06:14', '464', '418')
('30/05/2022 17:06:15', '445', '448')
('30/05/2022 17:06:16', '495', '294')
('30/05/2022 17:06:18', '493', '472')
('30/05/2022 17:06:19', '487', '7')
('30/05/2022 17:06:20', '496', '401')
('30/05/2022 17:06:21', '496', '3')
('30/05/2022 17:06:23', '500', '22')
('30/05/2022 17:06:24', '500', '234')
('30/05/2022 17:06:25', '497', '315')
('30/05/2022 17:06:27', '495', '320')
('30/05/2022 17:06:28', '502', '235')
('30/05/2022 17:06:29', '496', '16')
('30/05/2022 17:06:30', '503', '90')
('30/05/2022 17:06:31', '498', '413')
('30/05/2022 17:06:32', '491', '304')
('30/05/2022 17:06:34', '483', '432')
('30/05/2022 17:06:35', '481', '461')
('30/05/2022 17:06:36', '479', '425')
('30/05/2022 17:06:37', '468', '326')
('30/05/2022 17:06:39', '464', '368')
('30/05/2022 17:06:40', '466', '187')
('30/05/2022 17:06:41', '456', '453')
('30/05/2022 17:06:42', '433', '362')
('30/05/2022 17:06:44', '438', '439')
('30/05/2022 17:06:45', '432', '242')
('30/05/2022 17:06:46', '431', '240')
('30/05/2022 17:06:47', '432', '283')
('30/05/2022 17:06:48', '413', '464')
('30/05/2022 17:06:50', '402', '248')
('30/05/2022 17:06:51', '395', '366')
('30/05/2022 17:06:52', '400', '6')
('30/05/2022 17:06:53', '410', '35')
('30/05/2022 17:06:54', '410', '240')
('30/05/2022 17:06:56', '426', '432')
('30/05/2022 17:06:57', '436', '831')
('30/05/2022 17:06:58', '431', '260')
('30/05/2022 17:06:59', '433', '443')
('30/05/2022 17:07:01', '437', '464')
('30/05/2022 17:07:02', '438', '400')
('30/05/2022 17:07:03', '437', '50')
('30/05/2022 17:07:04', '435', '370')
('30/05/2022 17:07:06', '439', '29')
('30/05/2022 17:07:07', '447', '223')
('30/05/2022 17:07:08', '433', '438')
('30/05/2022 17:07:09', '423', '468')
('30/05/2022 17:07:11', '417', '368')
('30/05/2022 17:07:12', '417', '432')
('30/05/2022 17:07:13', '419', '469')
('30/05/2022 17:07:14', '441', '431')
('30/05/2022 17:07:15', '442', '330')
('30/05/2022 17:07:17', '454', '269')
('30/05/2022 17:07:18', '464', '287')
('30/05/2022 17:07:19', '464', '193')
('30/05/2022 17:07:20', '463', '3')
('30/05/2022 17:07:22', '479', '368')
('30/05/2022 17:07:23', '477', '11')
('30/05/2022 17:07:24', '478', '368')
('30/05/2022 17:07:25', '476', '218')
